"","lane","study","species","gene"
"8","26141_1_134","DASSIM","e_coli","CatB3"
"34","26141_1_136","DASSIM","e_coli","CatB3"
"61","26141_1_138","DASSIM","e_coli","CatA1"
"90","26141_1_140","DASSIM","e_coli","CatB4"
"106","26141_1_141","DASSIM","e_coli","CatA1"
"167","26141_1_145","DASSIM","e_coli","CatB3"
"212","26141_1_148","DASSIM","e_coli","CatA1"
"230","26141_1_149","DASSIM","e_coli","CatA1"
"231","26141_1_149","DASSIM","e_coli","CatB4"
"257","26141_1_151","DASSIM","e_coli","CatB4"
"272","26141_1_152","DASSIM","e_coli","CatB4"
"302","26141_1_154","DASSIM","e_coli","CmlA1"
"313","26141_1_155","DASSIM","e_coli","CatA1"
"343","26141_1_157","DASSIM","e_coli","CatB4"
"361","26141_1_158","DASSIM","e_coli","CatA1"
"377","26141_1_159","DASSIM","e_coli","CatB4"
"411","26141_1_161","DASSIM","e_coli","CatB4"
"428","26141_1_162","DASSIM","e_coli","CatA1"
"429","26141_1_162","DASSIM","e_coli","CatB4"
"447","26141_1_164","DASSIM","e_coli","CatB3"
"464","26141_1_165","DASSIM","e_coli","CatB3"
"505","26141_1_169","DASSIM","e_coli","CatB4"
"523","26141_1_170","DASSIM","e_coli","CatB4"
"544","26141_1_171","DASSIM","e_coli","CatB4"
"600","26141_1_175","DASSIM","e_coli","CmlA1"
"637","26141_1_178","DASSIM","e_coli","CatB4"
"682","26141_1_181","DASSIM","e_coli","CatB4"
"727","26141_1_184","DASSIM","e_coli","CmlA1"
"780","26141_1_189","DASSIM","e_coli","CatA1"
"781","26141_1_189","DASSIM","e_coli","CatB4"
"799","26141_1_190","DASSIM","e_coli","CatA1"
"800","26141_1_190","DASSIM","e_coli","CatB4"
"881","26141_1_196","DASSIM","e_coli","CmlA1"
"952","26141_1_201","DASSIM","e_coli","CatB4"
"995","26141_1_204","DASSIM","e_coli","CatB3"
"1012","26141_1_205","DASSIM","e_coli","CatB3"
"1029","26141_1_206","DASSIM","e_coli","CatA1"
"1030","26141_1_206","DASSIM","e_coli","CatB4"
"1047","26141_1_207","DASSIM","e_coli","CatA1"
"1077","26141_1_209","DASSIM","e_coli","CatB4"
"1094","26141_1_210","DASSIM","e_coli","CatA1"
"1095","26141_1_210","DASSIM","e_coli","CatB4"
"1125","26141_1_212","DASSIM","e_coli","CatB3"
"1153","26141_1_214","DASSIM","e_coli","CatA1"
"1193","26141_1_218","DASSIM","e_coli","CatA1"
"1211","26141_1_219","DASSIM","e_coli","CatA1"
"1212","26141_1_219","DASSIM","e_coli","CatB4"
"1243","26141_1_221","DASSIM","e_coli","CatB4"
"1260","26141_1_222","DASSIM","e_coli","CatB4"
"1277","26141_1_223","DASSIM","e_coli","CatB4"
"1381","26141_1_232","DASSIM","e_coli","CatA1"
"1382","26141_1_232","DASSIM","e_coli","CatB4"
"1400","26141_1_236","DASSIM","e_coli","CatA1"
"1435","26141_1_240","DASSIM","e_coli","CatA2"
"1436","26141_1_240","DASSIM","e_coli","CatB4"
"1437","26141_1_240","DASSIM","e_coli","CmlA5"
"1470","26141_1_242","DASSIM","e_coli","CatB4"
"1502","26141_1_244","DASSIM","e_coli","CatB4"
"1535","26141_1_247","DASSIM","e_coli","CatB4"
"1552","26141_1_248","DASSIM","e_coli","CatB3"
"1568","26141_1_250","DASSIM","e_coli","CatA1"
"1586","26141_1_251","DASSIM","e_coli","CatA1"
"1602","26141_1_252","DASSIM","e_coli","CatA1"
"1611","26141_1_253","DASSIM","e_coli","CmlA1"
"1622","26141_1_254","DASSIM","e_coli","CatB4"
"1638","26141_1_255","DASSIM","e_coli","CatB4"
"1655","26141_1_256","DASSIM","e_coli","CatB3"
"1683","26141_1_258","DASSIM","e_coli","CatB4"
"1700","26141_1_259","DASSIM","e_coli","CmlA1"
"1779","26141_1_266","DASSIM","e_coli","CmlA1"
"1790","26141_1_267","DASSIM","e_coli","CatA1"
"1791","26141_1_267","DASSIM","e_coli","CatB4"
"1809","26141_1_268","DASSIM","e_coli","CatA1"
"1810","26141_1_268","DASSIM","e_coli","CatB4"
"1828","26141_1_270","DASSIM","e_coli","CatB4"
"1864","26141_1_272","DASSIM","e_coli","CatB4"
"1881","26141_1_273","DASSIM","e_coli","CatB4"
"1898","26141_1_274","DASSIM","e_coli","CatB3"
"1935","26141_1_277","DASSIM","e_coli","CatB4"
"1944","26141_1_278","DASSIM","e_coli","CatB4"
"1960","26141_1_279","DASSIM","e_coli","CatB4"
"1976","26141_1_280","DASSIM","e_coli","CatB4"
"2002","26141_1_283","DASSIM","e_coli","CmlA1"
"2035","26141_1_285","DASSIM","e_coli","CatB4"
"2055","26141_1_286","DASSIM","e_coli","CatB4"
"2072","26141_1_287","DASSIM","e_coli","CmlA1"
"2099","26141_1_289","DASSIM","e_coli","CmlA1"
"2115","26141_1_290","DASSIM","e_coli","CatA1"
"2116","26141_1_290","DASSIM","e_coli","CatB4"
"2131","26141_1_291","DASSIM","e_coli","CatA1"
"2160","26141_1_293","DASSIM","e_coli","CatA1"
"2161","26141_1_293","DASSIM","e_coli","CatB4"
"2191","26141_1_296","DASSIM","e_coli","CatA1"
"2192","26141_1_296","DASSIM","e_coli","CatB4"
"2210","26141_1_297","DASSIM","e_coli","CatA1"
"2224","26141_1_298","DASSIM","e_coli","CatA1"
"2242","26141_1_299","DASSIM","e_coli","CatB4"
"2260","28099_1_1","DASSIM","e_coli","CatA1"
"2277","28099_1_2","DASSIM","e_coli","CatB4"
