Name,Target,TM
CAI10Z ,CatA1,82.95
CAI10Z ,CatA1,82.95
CAI10Z ,CatA1,82.93
CAI10Z ,IS5_CatA1,79.07
CAI10Z ,IS5_CatA1,79.07
CAI10Z ,IS5_CatA1,79.07
CAE137,CatB3,85.02
CAE137,CatB3,85.03
CAE137,CatB3,85
CAE137,CatA1,82.9
CAE137,CatA1,82.92
CAE137,CatA1,82.9
CAI10X,CatA1,82.92
CAI10X,CatA1,82.9
CAI10X,CatA1,82.93
CAI10X,IS5_CatA1,79.1
CAI10X,IS5_CatA1,79.1
CAI10X,IS5_CatA1,79.15
CAI10E,CatA1,82.92
CAI10E,CatA1,82.92
CAI10E,CatA1,82.95
CAI10E,IS5_CatA1,79.05
CAI10E,IS5_CatA1,79.05
CAI10E,IS5_CatA1,79.08
CAF11G,CatB4,84.4
CAF11G,CatB4,84.42
CAF11G,CatB4,84.4
CAF11G,CatA1,82.95
CAF11G,CatA1,82.95
CAF11G,CatA1,82.95
CAB15M,CatB4,84.42
CAB15M,CatB4,84.47
CAB15M,CatB4,84.47
CAB15M,CatA1,82.95
CAB15M,CatA1,82.95
CAB15M,CatA1,82.92
CAD110,CatB4,84.42
CAD110,CatB4,84.42
CAD110,CatB4,84.5
CAD10B,CatB3,84.98
CAD10B,CatB3,84.98
CAD10B,CatB3,85
CAC124,CatB4,84.45
CAC124,CatB4,84.45
CAC124,CatB4,84.4
CAG10A,CatB3,84.93
CAG10A,CatB3,84.9
CAG10A,CatB3,84.97
