"","lane","Strain_ID","ST","species","CatA1","CatB4","CmlA1","CatA2","CatB3","Cat_pC221","CmlA5","amikacin","chloramphenicol","ciprofloxacin","cotrimoxazole","gentamicin","meropenem","IncFIA","IncFIB","IncFII","IncR","IncY","IncI1","IncX1","IncX4","IncHI1B","IncHI2A","IncI2","IncHI2","IncB","IncN","IncL","IncA","IncX2","IncFIC","IncHI1A","IncU","IncX3","CHL","Date","Lane_ID","Source_chr","Age_group_chr","Phylogroup","SC","AM","SXT","GENT","CRO","CIP","aac_6prime_Ibcr_1_DQ303918","aac3_IIa_X13543","dfrA","sul2","StrB","StrA","blaTEM1","catA","sul1","tetB","blaOXA1","blaCTXM15","tetA","mphA_1_D16251","aph3","QnrB1","blaSCO1","floR","aadA2","catB","blaSHV12","blaOXA10","blaSHV1","qepA","cmlA1","FIB","FIA","X1","X4","I1","K","A.C","B.O","FII.K","HI2","HI3","HI4","HI5","HI6","X","lstm.KLEB","ENA_Accession","Lane","Year","Source","Age_group","Clade","AMP","CHLO","COTRIM...sulfonamide...trime","CEFTR","CIPRO...FQ","GENT...aminoglycos","fosA","oqxA_1_EU370913.Efflux","oqxB_1_EU370913","Sul2","aac.6..","strB","strA","blaCTXM15_23_DQ302097","Sul1","C_tetD","blaSHV11","blaSHV28","ARR","alph3","QnrB","floR_2","QnrS1","blaSCO1_EF063111","blaOXA9","blaSHV26_1_A","blaOKPB","ereA_2_AF099140","blaTEM63","blaSHV7","blaLEN16_1_AY743416","blaLEN25_1_HQ709169","blaSHV133","blaSHV25","blaSHV27","blaSHV36","blaSHV37","No_of_genes"
"1","26141_1_134","CAB153","46","E. coli",0,0,0,0,1,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","26141_1_135","CAC127","46","E. coli",0,0,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","26141_1_136","CAD13R","46","E. coli",0,0,0,0,1,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","26141_1_137","CAE12N","131","E. coli",0,0,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","26141_1_138","CAI10E","167","E. coli",1,0,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","26141_1_139","CAJ10A","131","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","26141_1_140","CAD13P","44","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","26141_1_141","CAI10F","9847","E. coli",1,0,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","26141_1_142","CAB14X","636","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","26141_1_143","CAC11I","636","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
