,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
1,ant(2'')-Ia_1_X04555,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_1,X04555
2,ant(2'')-Ia_10_HM367617,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_10,HM367617
3,ant(2'')-Ia_11_HM367620,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_11,HM367620
4,ant(2'')-Ia_12_HQ880250,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_12,HQ880250
5,ant(2'')-Ia_13_DQ176450,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_13,DQ176450
6,ant(2'')-Ia_14_DQ266447,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_14,DQ266447
7,ant(2'')-Ia_15_EF205594,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_15,EF205594
8,ant(2'')-Ia_16_HQ386848,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_16,HQ386848
9,ant(2'')-Ia_17_JTTZ01000034,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_17,JTTZ01000034
10,ant(2'')-Ia_19_GQ466184,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_19,GQ466184
11,ant(2'')-Ia_2_JF826500,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_2,JF826500
12,ant(2'')-Ia_20_AY139599,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_20,AY139599
13,ant(2'')-Ia_3_X74412,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_3,X74412
14,ant(2'')-Ia_4_AF458082,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_4,AF458082
15,ant(2'')-Ia_5_AY139594,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_5,AY139594
16,ant(2'')-Ia_6_AJ871915,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_6,AJ871915
17,ant(2'')-Ia_7_DQ018384,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_7,DQ018384
18,ant(2'')-Ia_8_AY920928,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_8,AY920928
19,ant(2'')-Ia_9_HM367610,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,ant(2'')-Ia_9,HM367610
20,ant(3'')-Ia_1_X02340,Aminoglycoside,Streptomycin,Enzymatic modification,ant(3'')-Ia_1,X02340
21,ant(3'')-Ii-aac(6')-IId_1_AF453998,Aminoglycoside,"Gentamicin, Streptomycin, Tobramycin, Spectinomycin",Enzymatic modification,ant(3'')-Ii-aac(6')-IId_1,AF453998
22,ant(4')-Ib_1_AJ506108,Aminoglycoside,"Amikacin, Tobramycin, Isepamicin, Dibekacin",Enzymatic modification,ant(4')-Ib_1,AJ506108
23,ant(4')-IIa_1_M98270,Aminoglycoside,"Amikacin, Tobramycin, Isepamicin",Enzymatic modification,ant(4')-IIa_1,M98270
24,ant(4')-IIb_1_AY114142,Aminoglycoside,"Amikacin, Tobramycin, Isepamicin",Enzymatic modification,ant(4')-IIb_1,AY114142
