lane,lab_id,study,species,#ariba_ref_name,ref_name,gene,var_only,flag,reads,cluster,ref_len,ref_base_assembled,pc_ident,ctg,ctg_len,ctg_cov,known_var,var_type,var_seq_type,known_var_change,has_known_var,ref_ctg_change,ref_ctg_effect,ref_start,ref_end,ref_nt,ctg_start,ctg_end,ctg_nt,smtls_total_depth,smtls_nts,smtls_nts_depth,var_description,free_text
26141_1_134,CAB153,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,204,catB3,633,633,100,catB3.l15.c4.ctg.1,1627,18.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_135,CAC127,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_136,CAD13R,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,244,catB3,633,633,100,catB3.l15.c4.ctg.1,1630,22.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_137,CAE12N,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_138,CAI10E,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_139,CAJ10A,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_140,CAD13P,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,136,catB3,633,442,100,catB3.l15.c4.ctg.1,1262,15.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_141,CAI10F,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_142,CAB14X,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_143,CAC11I,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
