#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
26141-1-134,.26141_1_134.1,158811,160043,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.35,resfinder,Y08743,mdf(A),
26141-1-134,.26141_1_134.100,558,1346,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-134,.26141_1_134.100,1477,1950,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-134,.26141_1_134.105,489,1121,-,catB3_2,1-633/633,===============,0/0,100,100,resfinder,U13880,catB3,Chloramphenicol
26141-1-134,.26141_1_134.105,1259,2089,-,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
26141-1-134,.26141_1_134.105,2220,2819,-,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
26141-1-134,.26141_1_134.107,831,1691,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-134,.26141_1_134.5,9856,10731,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-134,.26141_1_134.84,353,1168,+,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
26141-1-134,.26141_1_134.84,1229,2032,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-134,.26141_1_134.84,2032,2868,+,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-134,.26141_1_134.84,3847,5093,+,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-134,.26141_1_134.86,507,1367,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-134,.26141_1_134.93,227,1148,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-135,.26141_1_135.1,158771,160003,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.35,resfinder,Y08743,mdf(A),
26141-1-135,.26141_1_135.4,191633,192508,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-135,.26141_1_135.83,556,1416,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-135,.26141_1_135.98,1529,2002,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-135,.26141_1_135.98,2133,2921,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-136,.26141_1_136.1,158798,160030,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.35,resfinder,Y08743,mdf(A),
26141-1-136,.26141_1_136.100,215,1051,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-136,.26141_1_136.100,1051,1854,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-136,.26141_1_136.100,1915,2730,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
26141-1-136,.26141_1_136.102,538,1170,-,catB3_2,1-633/633,===============,0/0,100,100,resfinder,U13880,catB3,Chloramphenicol
26141-1-136,.26141_1_136.102,1308,2138,-,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
26141-1-136,.26141_1_136.102,2269,2868,-,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
26141-1-136,.26141_1_136.105,831,1691,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
26141-1-136,.26141_1_136.5,191452,192327,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-136,.26141_1_136.83,556,1416,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
26141-1-136,.26141_1_136.89,276,1197,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-136,.26141_1_136.97,558,1346,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-136,.26141_1_136.97,1477,1950,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-137,.26141_1_137.1,347317,348549,-,mdf(A)_1,1-1233/1233,===============,0/0,100,97.81,resfinder,Y08743,mdf(A),
26141-1-137,.26141_1_137.44,211,1132,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-137,.26141_1_137.44,6427,7293,-,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-137,.26141_1_137.44,7813,8601,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
26141-1-137,.26141_1_137.44,8732,9205,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
26141-1-137,.26141_1_137.52,540,1786,-,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-137,.26141_1_137.52,2765,3601,-,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-137,.26141_1_137.52,3601,4404,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-137,.26141_1_137.52,4465,5280,-,sul2_2,1-816/816,===============,0/0,100,99.88,resfinder,AY034138,sul2,Sulfamethoxazole
26141-1-137,.26141_1_137.72,376,1251,+,blaCTX-M-27_1,1-876/876,===============,0/0,100,100,resfinder,AY156923,blaCTX-M-27,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
26141-1-138,.26141_1_138.5,208689,209921,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
26141-1-138,.26141_1_138.52,148,807,+,catA1_1,1-660/660,===============,0/0,100,99.85,resfinder,V00622,catA1,Chloramphenicol
26141-1-138,.26141_1_138.52,6818,7315,+,dfrA12_8,1-498/498,===============,0/0,100,100,resfinder,AM040708,dfrA12,Trimethoprim
26141-1-138,.26141_1_138.52,7713,8514,+,aadA2_1,18-819/819,===============,0/0,97.92,99.88,resfinder,NC_010870,aadA2,Streptomycin
26141-1-138,.26141_1_138.52,8992,9858,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
26141-1-138,.26141_1_138.52,15153,16083,-,mph(A)_2,1-921/921,========/======,02-Oct,100,98.71,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
26141-1-138,.26141_1_138.68,518,1764,-,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
26141-1-138,.26141_1_138.68,2743,3579,-,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
26141-1-138,.26141_1_138.68,3579,4382,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
26141-1-138,.26141_1_138.68,4443,5258,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
26141-1-138,.26141_1_138.71,1882,3087,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
